sentence,labels
"Zoya school ki meeting me shamil tha, principal ne bola.",B-PER O O O O O O O O O
"Lubna Tahir ki shaadi aaj ko hai, invitation sent.",B-PER I-PER O O B-DATE O O O O
Sadia ki company Bank of Punjab ke sath partnership sign kar rahi hai; press release will follow.,B-PER O O B-ORG I-ORG I-ORG O O O O O O O O O O O
Kya tumne Rameez ka message dekha? woh Multan me hain and unreachable.,O O B-PER O O O O B-LOC O O O O
"Shanzay Arshad school ki meeting me shamil tha, principal ne bola.",B-PER I-PER O O O O O O O O O
"Khadija Bushra (jo Dr. hai) Multan se wapas aaega, phir apna laptop check karega.",B-PER I-PER O O O B-LOC O O O O O O O O
"Jab Javeria Khalid ghar pohoncha, usne dekha ke Nadia Danish wahan pehle se maujood tha; dono gaye.",O B-PER I-PER O O O O O B-PER I-PER O O O O O O O
Rana Arsalan ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER I-PER O O O O O O O O O O O O
'Agar tum aa sako to' Javeria Umar ne kaha 'kal subha hi chalein'.,O O O O O B-PER I-PER O O O O O O
Rashid ne final exam attend kiya aur report submit ki.,B-PER O B-EVENT I-EVENT O O O O O O
Kal Noman Gulzar subha wedding me jaega aur uske baad class hogi.,O B-PER I-PER O B-EVENT O O O O O O O
"Shanzay ne apna tablet sell kar diya aur naya phone liya, refund pending.",B-PER O O B-PRODUCT O O O O O O O O O
Tabish Beenish neh kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER I-PER O O O O O O O O O O O O
Zainab Imran university me khana kha rha tha.,B-PER I-PER O O O O O O
Hira ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O O O O O O O O
Subha subha Qudsia Old Lahore pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER B-LOC I-LOC O O O O O O O O
"Qudsia Tahir ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER I-PER O O O O O O O O O
City Hospital (North Branch) ne notice issue ki - please read.,B-ORG I-ORG O O O O O O O O O
Subha subha Aman Pindi Cantt pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER B-LOC I-LOC O O O O O O O O
Rabia ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O O O O O O O O
Subhan aj PK Telecom me kaam krta hai aur meeting rakhni thi.,B-PER O B-ORG I-ORG O O O O O O O O
Belal kal DHA Karachi me match dekhne jaega; tickets book karlo.,B-PER B-DATE B-LOC I-LOC O O O O O B-PRODUCT O
Kya tumne Javeria Sana ka message dekha? woh Lahore me hain and unreachable.,O O B-PER I-PER O O O O B-LOC O O O O
Hira ki tabiyat theek nahi hai - doctor bula lo.,B-PER O O O O O O O O O
Irfan Saqib library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
Kal Junaid Sara subha final exam me jaega aur uske baad class hogi.,O B-PER I-PER O B-EVENT I-EVENT O O O O O O O
Zarah ne Fahad Danish ko birthday wish ki via WhatsApp message.,B-PER O B-PER I-PER O O O O O O O
'Agar tum aa sako to' Mahnoor ne kaha 'kal subha hi chalein'.,O O O O O B-PER O O O O O O
Faisal Fizza ne conference attend kiya aur report submit ki.,B-PER I-PER O B-EVENT O O O O O O
"Jab Qasim Omar ghar pohoncha, usne dekha ke Yumna Irfan wahan pehle se maujood tha; dono gaye.",O B-PER I-PER O O O O O B-PER I-PER O O O O O O O
Komal Irfan neh laptop kharida lekin delivery delay ho gayi.,B-PER I-PER O B-PRODUCT O O O O O O
Tania Irfan se Karachi jaegi aur jakr parhai kregi.,B-PER I-PER O B-LOC O O O O O
Bashir Samir aur Cyrus aj shopping mall gaye - parking paid thi.,B-PER I-PER O B-PER O O O O O O O O
"Ahmed aur unki team ne blood drive organize kiya, jisme staff shamil thay aur media cover karegi.",B-PER O O O O B-EVENT I-EVENT O O O O O O O O O O
Hira ne Rabiya ko birthday wish ki via WhatsApp message.,B-PER O B-PER O O O O O O O
Komal aj Careem me kaam krta hai aur meeting rakhni thi.,B-PER O B-ORG O O O O O O O O
Beenish Ayesha aj International School me kaam krta hai aur meeting rakhni thi.,B-PER I-PER O B-ORG I-ORG O O O O O O O O
Javeria ki meeting 15/08/2023 ko PK Telecom me scheduled hai - confirm karo.,B-PER O O B-DATE O B-ORG I-ORG O O O O O O
Kya tumne Ehsan ka message dekha? woh Model Town Lahore me hain and unreachable.,O O B-PER O O O O B-LOC I-LOC I-LOC O O O O
"Bank of Punjab ka CEO Arsalan Bushra hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG I-ORG O O B-PER I-PER O O O O O O O O O
"Mahnoor ne kal Pindi Cantt se call ki aur bola, 'main late aaon ga'.",B-PER O O B-LOC I-LOC O O O O O O O O O
"Meeting: City Hospital, 3-Jan. Agenda: performance review.",O B-ORG I-ORG O O O O
Subha subha Tania DHA Karachi pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER B-LOC I-LOC O O O O O O O O
Zainab Maria library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
Qasim Omar se Faisalabad se wapas aa rha tha jab traffic jam ho gaya.,B-PER I-PER O B-LOC O O O O O O O O O O
"Iqra Khadija ki shaadi 3-January ko hai, invitation sent.",B-PER I-PER O O B-DATE O O O O
Usman ne apna book repair karwaya par abhi faulty hai.,B-PER O O B-PRODUCT O O O O O O
Bushra ne apna camera repair karwaya par abhi faulty hai.,B-PER O O B-PRODUCT O O O O O O
Anam Iqra ki meeting sham ko Careem me scheduled hai - confirm karo.,B-PER I-PER O O B-DATE O B-ORG O O O O O O
Fizza ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER O O O O O O O O O O O O
Minahil ne Yumna ko birthday wish ki via WhatsApp message.,B-PER O B-PER O O O O O O O
"Faisal Fizza ne Muzammil ko motorcycle gift kiya, dono khush.",B-PER I-PER O B-PER O B-PRODUCT O O O O
Sadia ki company City College ke sath partnership sign kar rahi hai; press release will follow.,B-PER O O B-ORG I-ORG O O O O O O O O O O O
Nawal apni dost ke sath Defense Phase II jaegi kyunki shopping zaroori thi.,B-PER O O O O B-LOC I-LOC I-LOC O O O O O
Veena Shanzay ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER I-PER O O O O O O O O O O O O
"Rumi Mira kal 15/08/2023 ko meeting attend karega, waqt 10:00 AM.",B-PER I-PER O B-DATE O B-EVENT O O O O O
Aman library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
Aaj Adeel Danish ne project submit kiya; supervisor ne appreciate kiya.,O B-PER I-PER O O O O O O O O
Irfan Sara aur Nadia Danish aj market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER I-PER O O O O O O O O O
Asad ki meeting 25 Dec ko City Hospital me scheduled hai - confirm karo.,B-PER O O B-DATE I-DATE O B-ORG I-ORG O O O O O O
"Ahmed Sadia ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER I-PER O O O O O O O O O
'Agar tum aa sako to' Adil ne kaha 'kal subha hi chalein'.,O O O O O B-PER O O O O O O
"Jab Laila Kiran ghar pohoncha, usne dekha ke Sajida wahan pehle se maujood tha; dono gaye.",O B-PER I-PER O O O O O B-PER O O O O O O O
"Phone: Nikon camera, bought by Khalil. Delivery expected next week.",O B-PRODUCT I-PRODUCT O O B-PER O O O O
Irfan ne online phone order kiya aur delivery pending hai - tracking shows delay.,B-PER O O B-PRODUCT O O O O O O O O O O
Rimsha Noreen ne electric scooter ghar bheja; tracking no. ABC123.,B-PER I-PER O B-PRODUCT I-PRODUCT O O O O O
Arsalan Sufyan - Islamabad Sector G-8 - aj; short note.,B-PER I-PER O B-LOC I-LOC I-LOC O O O O
Danish ki company National University ke sath partnership sign kar rahi hai; press release will follow.,B-PER O O B-ORG I-ORG O O O O O O O O O O O
Khalil fruit bana rhi hai kyunki unko healthy rehna hai.,B-PER O O O O O O O O O
Lubna ki tabiyat theek nahi hai - doctor bula lo.,B-PER O O O O O O O O O
Imran Zeeshan library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
Owais library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
Javeria ne apna USB phone repair karwaya par abhi faulty hai.,B-PER O O B-PRODUCT I-PRODUCT O O O O O O
Sara kal Islamabad Sector G-8 me match dekhne jaega; tickets book karlo.,B-PER O B-LOC I-LOC I-LOC O O O O O O O
'Agar tum aa sako to' Javeria Khalid ne kaha 'kal subha hi chalein'.,O O O O O B-PER I-PER O O O O O O
PK Telecom ka office Gujranwala me hai; contact number 0300-1234567.,B-ORG I-ORG O O B-LOC O O O O O
"Usman Sarfaraz (jo Dr. hai) North Karachi se wapas aaega, phir apna laptop check karega.",B-PER I-PER O O O B-LOC I-LOC O O O O O O O O
"Sadia Noreen school ki meeting me shamil tha, principal ne bola.",B-PER I-PER O O O O O O O O O
Noreen ne annual function attend kiya aur report submit ki.,B-PER O B-EVENT I-EVENT O O O O O O
"Karachi Press ka CEO Waseem Rameez hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER I-PER O O O B-DATE O O O O O
Haroon Adeel ne apni behn ke liye camera kharida aur gift diya.,B-PER I-PER O O O O O B-PRODUCT O O O O
Zainab Imran - Defense Phase II - aj; short note.,B-PER I-PER O B-LOC I-LOC I-LOC O O O O
"Ibrahim kal sham ko sports day attend karega, waqt 10:00 AM.",B-PER O B-DATE O B-EVENT I-EVENT O O O O O
Rumi ki meeting 25 Dec ko National University me scheduled hai - confirm karo.,B-PER O O B-DATE I-DATE O B-ORG I-ORG O O O O O O
"Faisal Fizza school ki meeting me shamil tha, principal ne bola.",B-PER I-PER O O O O O O O O O
Kal Ahmed Hafsa subha blood drive me jaega aur uske baad class hogi.,O B-PER I-PER O B-EVENT I-EVENT O O O O O O O
Kal Fahad Waseem subha hackathon me jaega aur uske baad class hogi.,O B-PER I-PER O B-EVENT O O O O O O O
Erum Bashir aj National University me kaam krta hai aur meeting rakhni thi.,B-PER I-PER O B-ORG I-ORG O O O O O O O O
"Veena Shanzay ki shaadi 25 Dec ko hai, invitation sent.",B-PER I-PER O O B-DATE I-DATE O O O O
Umair se Model Town Lahore travel kar rhi hai; accommodation arranged.,B-PER O B-LOC I-LOC I-LOC O O O O O O
Tabish Beenish apni dost ke sath Model Town Lahore jaegi kyunki shopping zaroori thi.,B-PER I-PER O O O O B-LOC I-LOC I-LOC O O O O O
Rashid Mariam ne Areeba ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER O O O O O O O
Sana Ehsan ne hackathon attend kiya aur report submit ki.,B-PER I-PER O B-EVENT O O O O O O
Khadija ko car pasand aaya lekin price zyada tha.,B-PER O B-PRODUCT O O O O O O
Bilqis Beenish ki tabiyat theek nahi hai - doctor bula lo.,B-PER I-PER O O O O O O O O O
Sadia - DHA Karachi - aj; short note.,B-PER O B-LOC I-LOC O O O O
Sufyan ne Umar Dua ko birthday wish ki via WhatsApp message.,B-PER O B-PER I-PER O O O O O O O
Veena Shanzay university me khana kha rha tha.,B-PER I-PER O O O O O O
Qudsia Rana ne apna laptop repair karwaya par abhi faulty hai.,B-PER I-PER O O B-PRODUCT O O O O O O
"City College ka CEO Minahil hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER O O O O O O O O O
"Mariam ki shaadi 15 Aug ko hai, invitation sent.",B-PER O O B-DATE I-DATE O O O O
Mariam ne apna motorcycle repair karwaya par abhi faulty hai.,B-PER O O B-PRODUCT O O O O O O
Kya tumne Muzammil ka message dekha? woh Gulberg me hain and unreachable.,O O B-PER O O O O B-LOC O O O O
Careem ka office Gujranwala me hai; contact number 0300-1234567.,B-ORG O O B-LOC O O O O O
Ali apni dost ke sath Sialkot jaegi kyunki shopping zaroori thi.,B-PER O O O O B-LOC O O O O O
Subha subha Laila Danish Lahore pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER I-PER B-LOC O O O O O O O O
Aaj Yumna Irfan ne project submit kiya; supervisor ne appreciate kiya.,O B-PER I-PER O O O O O O O O
Usman Sarfaraz ne online camera order kiya aur delivery pending hai - tracking shows delay.,B-PER I-PER O O B-PRODUCT O O O O O O O O O O
Faisal Haroon ne Rana Shameem ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER I-PER O O O O O O O
Usman Sarfaraz ne apni behn ke liye camera kharida aur gift diya.,B-PER I-PER O O O O O B-PRODUCT O O O O
Sarfaraz Imran aj Bank of Punjab me kaam krta hai aur meeting rakhni thi.,B-PER I-PER O B-ORG I-ORG I-ORG O O O O O O O O
Research Center ka office Islamabad Sector G-8 me hai; contact number 0300-1234567.,B-ORG I-ORG O O B-LOC I-LOC I-LOC O O O O O
Subhan ne City College me job start ki aur onboarding chal rahi hai.,O O B-ORG I-ORG O O O O O O O O O
Minahil apni dost ke sath Karachi jaegi kyunki shopping zaroori thi.,B-PER O O O O B-LOC O O O O O
Kal Rumi subha festival me jaega aur uske baad class hogi.,O B-PER O B-EVENT O O O O O O O
Hafsa Ibrahim ne apna camera repair karwaya par abhi faulty hai.,B-PER I-PER O O B-PRODUCT O O O O O O
Iqra Ehsan - Rawalpindi - aj; short note.,B-PER I-PER O B-LOC O O O O
Veena Shanzay kal North Karachi me match dekhne jaega; tickets book karlo.,B-PER I-PER O B-LOC I-LOC O O O O O O O
Arsalan Lubna ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER I-PER O O O O O O O O O O
Adeel ko tablet pasand aaya lekin price zyada tha.,B-PER O B-PRODUCT O O O O O O
Bilqis aur Sajid aj market gaye thay; phir cafe me coffee pi.,B-PER O B-PER O O O O O O O O O
"Komal ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER O O O O O O O B-PRODUCT O
"Junaid Pervaiz school ki meeting me shamil tha, principal ne bola.",B-PER I-PER O O B-EVENT O O O O O O
"Sindh Education Board ka CEO Waseem Rida hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG I-ORG O O B-PER I-PER O O O O O O O O O
Hira kal Gujranwala me match dekhne jaega; tickets book karlo.,B-PER O B-LOC O O O O O O O
Omar ne Aman Umair ko bitrhday wish ki via WhatsApp message.,B-PER O B-PER I-PER O O O O O O O
Junaid ne apni behn ke liye electric scooter kharida aur gift diya.,B-PER O O O O O B-PRODUCT I-PRODUCT O O O O
'Agar tum aa sako to' Arsalan Lubna ne kaha 'kal subha hi chalein'.,O O O O O B-PER I-PER O O O O O O
"Meeting: International School, 3-Jan. Agenda: performance review.",O B-ORG I-ORG O O O O
Umair aur Ayesha Subhan aj shopping mall gaye - parking paid thi.,B-PER O B-PER I-PER O O O O O O O O
"Karachi Press ka CEO Adeel hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER O O O O O O O O O
"Hassan ne apna tablet sell kar diya aur naya phone liya, refund pending.",B-PER O O B-PRODUCT O O O O O O O O O
Haroon Rabia ne online electric scooter order kiya aur delivery pending hai - tracking shows delay.,B-PER I-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O O
Laila Kiran aj Sindh Education Board me kaam krta hai aur meeting rakhni thi.,B-PER I-PER O B-ORG I-ORG I-ORG O O O O O O O O
Javeria Yumna aur Tania Irfan aj shopping mall gaye - parking paid thi.,B-PER I-PER O B-PER I-PER O O O O O O O O
"Meeting: Bank of Punjab, 3-Jan. Agenda: performance review.",O B-ORG I-ORG I-ORG O O O O
Komal Irfan ki meeting 25-December ko PK Telecom me scheduled hai - confirm karo.,B-PER I-PER O O B-DATE O B-ORG I-ORG O O O O O O
Anam Iqra kal Lahore me match dekhne jaega; tickets book karlo.,B-PER I-PER O B-LOC O O O O O O O
Research Center ka office Gujranwala me hai; contact number 0300-1234567.,B-ORG I-ORG O O B-LOC O O O O O
Nadia Sania se Pindi Cantt travel kar rhi hai; accommodation arranged.,B-PER I-PER O B-LOC I-LOC O O O O O O
"Careem ka CEO Saima hai aur woh aaj press conference karenge, media invited.",B-ORG O O B-PER O O O O O O O O O
"Nadia Junaid ne apna camera sell kar diya aur naya phone liya, refund pending.",B-PER I-PER O O B-PRODUCT O O O O O O O O O
Farah Tania se Karachi jaegi aur jakr parhai kregi.,B-PER I-PER O B-LOC O O O O O
Hafsa se Sialkot travel kar rhi hai; accommodation arranged.,B-PER O B-LOC O O O O O O
Aman ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER O O O O O O O O O O O O
Fahad ne seminar attend kiya aur report submit ki.,B-PER O B-EVENT O O O O O O
"Careem ka CEO Beenish hai aur woh aaj press conference karenge, media invited.",B-ORG O O B-PER O O O O O O O O O
Vaseem ne apna motorcycle repair karwaya par abhi faulty hai.,B-PER O O B-PRODUCT O O O O O O
"Phone: iPhone 12, bought by Ahmed Shahroz. Delivery expected next week.",O B-PRODUCT I-PRODUCT O O B-PER I-PER O O O O
Rumi Mira - North Karachi - aj; short note.,B-PER I-PER O B-LOC I-LOC O O O O
"Tabish kal 3-January ko annual function attend karega, waqt 10:00 AM.",B-PER O B-DATE O B-EVENT I-EVENT O O O O O
Rana Arsalan ki company National University ke sath partnership sign kar rahi hai; press release will follow.,B-PER I-PER O O B-ORG I-ORG O O O O O O O O O O O
Kya tumne Shameem ka message dekha? woh Rawalpindi me hain and unreachable.,O O B-PER O O O O B-LOC O O O O
Waseem ne blood drive attend kiya aur report submit ki.,B-PER O B-EVENT I-EVENT O O O O O O
Farah Tania library me assignment ilkh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
Shehryar ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O B-DATE O O O O O O
Aaj Priya ne project submit kiya; supervisor ne appreciate kiya.,O B-PER O O O O O O O O
Subha subha Fahad Model Town Lahore pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER B-LOC I-LOC I-LOC O O O O O O O O
"Owais ne Fahad Danish ko phone gift kiya, dono khush.",B-PER O B-PER I-PER O B-PRODUCT O O O O
"Umair ne kal Gulberg se call ki aur bola, 'main late aaon ga'.",B-PER O O B-LOC O O O O O O O O O
Maria ki tabiyat theek nahi hai - doctor bula lo.,B-PER O O O O O O O O O
"Cyrus (jo Dr. hai) Gujranwala se wapas aaega, phir apna laptop check karega.",B-PER O O O B-LOC O O O O O O O O
'Agar tum aa sako to' Khadija ne kaha 'kal subha hi chalein'.,O O O O O B-PER O O O O O O
Kal Mehreen subha annual function me jaega aur uske baad class hogi.,O B-PER O B-EVENT I-EVENT O O O O O O O
Research Center (North Branch) ne notice issue ki - please read.,B-ORG I-ORG O O O O O O O O O
Anam Shameem ki tabiyat theek nahi hai - doctor bula lo.,B-PER I-PER O O O O O O O O O
Tahir ne apna motorcycle repair karwaya par abhi faulty hai.,B-PER O O B-PRODUCT O O O O O O
"PK Telecom ka CEO Waseem hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER O O O O O O O O O
Saqib se Gulberg jaegi aur jakr parhai kregi.,B-PER O B-LOC O O O O O
Aaj Sajida ne project submit kiya; supervisor ne appreciate kiya.,O B-PER O O O O O O O O
Erum ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O O O O O O O O
